zip_code,food,shopping,restaurants
94104,667,1200,972
94108,649,1200,956
94105,507,1000,758
94111,569,882,764
94102,559,906,648
94130,0,0,0
94133,334,497,461
94123,82,266,143
94115,123,229,148
94158,81,130,124
94109,235,336,383
94103,436,802,566
94114,232,596,169
94117,113,186,121
94127,20,29,30
94107,108,308,175
94118,94,141,142
94131,30,51,43
94129,7,7,13
94110,254,350,315
94122,73,73,73
94134,37,28,30
94116,29,48,47
94121,50,56,75
94112,58,56,72
94132,64,88,55
94124,47,51,34
